Domaine,Feature,Composant,Description courte,État,Priorité,Scope,Complexité,Notes
Data Engine Kernel,Interface DataEngine,Backend / Core,Définition de l'API abstraite commune pour l'unification des drivers (SQL & NoSQL).,Terminé,P0,POC,4,Socle indispensable pour le mapping universel.
Data Engine Kernel,Driver PostgreSQL,Backend / Core,Implémentation complète du driver PostgreSQL avec support transactions.,Terminé,P0,POC,4,Basé sur sqlx.
Data Engine Kernel,Driver MySQL,Backend / Core,Implémentation complète du driver MySQL/MariaDB.,Terminé,P0,POC,4,Basé sur sqlx.
Data Engine Kernel,Driver MongoDB,Backend / Core,Implémentation complète du driver MongoDB (NoSQL).,Terminé,P0,POC,4,Supporte les collections et BSON.
Data Engine Kernel,Driver Redis,Backend / Core,Implémentation du driver Redis key-value avec navigation et inspection des types.,Terminé,P1,V2,4,Supporte SCAN et aperçu par type de clé.
Data Engine Kernel,Mapping Universel,Backend / Core,Abstraction des concepts (Namespace / Collection / Record).,Terminé,P0,POC,4,Permet une UI unifiée.
Sécurité,Vault / Chiffrement,Backend / Security,Stockage sécurisé des credentials via keyring système + Argon2.,Terminé,P0,POC,5,Indispensable pour la sécurité locale.
Sécurité,SSH Tunneling,Backend / Network,Support natif des tunnels SSH pour accès bases distantes.,Terminé,P1,POC,3,Utilise le binaire OpenSSH système.
Sécurité,App Lock,Backend / Security,Verrouillage de l'application au démarrage.,Terminé,P1,POC,2,Protection physique.
Sécurité,Safety Policy,Backend / Security,Middleware de sécurité pour appliquer les règles d'environnement (blocage mutations).,Terminé,P0,V1,4,Vérification systématique regex côté backend.
Sécurité,Redaction / Privacy,App / Privacy,Nettoyage automatique des données sensibles (mots de passe) dans les logs et exports.,Terminé,P1,V1,3,Implémenté dans `redaction.ts` et history.
UX / Interface,Global Search,Frontend / Shell,Recherche universelle "Spotlight" (Cmd+K) : connexions - historique - commandes - librairie.,Terminé,P1,V1,4,Composant central de navigation.
UX / Interface,Status Bar Contextuelle,Frontend / Shell,Barre d'état affichant environnement (couleur) - session - et lock status.,Terminé,P2,V1,2,Visual feedback permanent.
UX / Interface,Sidebar Connexions,Frontend / Sidebar,Arbre de navigation multi-serveurs et bases.,Terminé,P0,POC,2,Support drag & drop à venir.
UX / Interface,Favoris Connexions,Frontend / Sidebar,Marquage des connexions favorites avec section dédiée dans la sidebar.,Terminé,P1,V1,2,Persistance locale des favoris.
UX / Interface,Gestion Onglets,Frontend / Tabs,Système d'onglets pour requêtes et tables multiples.,Terminé,P1,POC,2,État persistant par onglet.
UX / Interface,Dark Mode,Frontend / UI,Thème sombre natif et soigné.,Terminé,P1,POC,1,Intégré avec Tailwind.
UX / Interface,Onboarding,Frontend / Onboarding,Flow de bienvenue pour les nouveaux utilisateurs.,Terminé,P2,V1,2,Configuration initiale.
SQL Editor,Éditeur SQL,Frontend / Editor,Éditeur avec syntax highlighting et autocomplétion basique.,Terminé,P0,POC,3,Basé sur Monaco/CodeMirror.
SQL Editor,Éditeur Mongo,Frontend / Editor,Éditeur spécifique pour requêtes JSON/BSON.,Terminé,P0,POC,3,Support syntaxe MongoDB.
SQL Editor,Query Library,Frontend / Library,Bibliothèque de requêtes avec Dossiers - Tags - et Export/Import JSON.,Terminé,P1,V1,4,Feature avancée de partage et organisation.
SQL Editor,Queries paramétrées,Frontend / Library,"Placeholders {{var}} / $var dans les queries sauvegardées avec inputs typés (texte, nombre, date, liste) saisis à l'exécution.",Terminé,P1,V3,3,Pro. Réutilise le moteur de variables des Notebooks (substitution anti-injection).
Notebook,Cellule IA,Frontend / Notebook,Cellule de type ai : prompt en langage naturel converti en cellule SQL adjacente via l'assistant IA (safety + extraction réutilisées).,Terminé,P1,V3,3,Pro. Réutilise useAiAssistant et AiResponseDisplay.
DataGrid,Filtres en langage naturel,Frontend / Grid + Backend / AI,"Barre de filtre NL convertie en ColumnFilter[] structurés (paramétrés) via ai_generate_filters, avec preview avant application sur la grille.",Terminé,P1,V3,3,"Pro. Nouvelle commande ai_generate_filters (non-streaming) ; valeurs paramétrées (anti-injection)."
Core Engineering,Data Generator,Frontend / Grid + Backend,"Génération de données de seed respectant types/contraintes/FK (valeurs tirées des lignes existantes), volume configurable, preview SQL puis exécution ou export .sql.",Terminé,P1,V3,5,"Pro. Commande generate_seed_data ; génération par type + heuristiques de nom ; multi-dialecte via qore-sql."
SQL Editor,Formattage SQL,Frontend / Editor,Prettify automatique des requêtes SQL.,Terminé,P2,V1,2,Librairie sql-formatter.
SQL Editor,Snippets,Frontend / Editor,Insertion rapide de fragments de code SQL.,Terminé,P2,V1,2,Productivité.
SQL Editor,Historique Requêtes,Fullstack,Journal local persisté (localStorage) avec isolation par session.,Terminé,P1,POC,2,Stockage persistant 100 entrées.
Data Grid,Tableau de données,Frontend / Grid,Grille haute performance pour affichage datasets.,Terminé,P0,POC,4,Virtualisation.
Data Grid,Filtres & Tri,Frontend / Grid,Filtrage par colonne et tri server-side.,Terminé,P0,POC,3,UX fluide.
Data Grid,Inline Edit,Frontend / Grid,Modification directe des cellules dans la grille.,Terminé,P1,V1,4,Support SQL UPDATE + NoSQL.
Data Grid,Pagination,Frontend / Grid,"Pagination par offset ou par curseur selon ce que le driver garantit ; la page déclare sa stratégie et son ordre.",Terminé,P0,POC,2,"Le curseur exige une clé unique ; sans elle, l'ordre instable est signalé dans la barre d'état."
Data Grid,Infinite Scroll,Frontend / Grid,"Chargement progressif à l'approche du bas de grille, sous budget mémoire par onglet.",Terminé,P1,V2,3,"Chaque page est pesée ; au-delà du budget le chargement s'arrête et le dit, en renvoyant vers le filtre ou l'export."
Data Grid,Aperçu des cellules lourdes,Frontend / Grid,"La grille affiche un aperçu borné ; copie, export et filtres continuent de lire la valeur entière.",Terminé,P1,V2,2,"Une cellule mettait sa valeur complète dans le DOM. L'aperçu est signalé pour ne pas se confondre avec une troncature CSS."
Environnements,Classification Env,Frontend / Logic,Distinction Dev / Staging / Prod avec codes couleurs.,Terminé,P1,V1,2,Sécurité visuelle.
Environnements,Read-only Mode,Fullstack,Blocage des écritures sur environnements critiques.,Terminé,P0,V1,3,Protection accidentelle.
Environnements,Détection Dangers,Fullstack,Analyse regex pour prévenir les DROP/DELETE sans WHERE.,Terminé,P1,V1,3,Safety net.
Environnements,Connection Testing,Backend / Network,Vérification de connectivité avant sauvegarde avec feedback user.,Terminé,P1,POC,2,"Dry-run" de connexion.
Infra,Auto-Update,App / Tauri,Mise à jour automatique de l'application.,Terminé,P1,V1,3,Plugin tauri-updater.
Infra,Crash Recovery,App / Logic,Restauration de l'état de session après plantage.,Terminé,P2,V1,3,Robustesse.
Infra,Backup Settings,App / Logic,Sauvegarde automatique de la configuration json.,Terminé,P2,V1,2,Backup local.
Infra,Import / Export Projet,App / Logic,Transfert complet de configuration via fichier JSON.,Terminé,P2,V1,2,Portabilité.
Infra,Crash reporting local,App / Logic,Rapport de crash écrit sur disque et proposé au lancement suivant ; partage manuel via issue GitHub pré-remplie. Aucune télémétrie.,Terminé,P3,V1,2,`observability.rs` + `components/Crash`.
Infra,Open Core Licensing,Fullstack,Système de licence Core/Pro avec activation et feature gating backend/frontend.,Terminé,P1,V2,4,Inclut activation locale et vérification de droits.
Infra,Dev Metrics,Backlog / Dev,Métriques de performance internes (query time - pool usage).,En cours,P3,V2,3,Exposé uniquement en dev build.
IA,Assistant IA,Fullstack,Génération et explication de requêtes avec correction d'erreurs en mode contextuel.,Terminé,P1,V1,4,Nécessite une licence Pro.
Performance,Streaming Résultats,Backend / Core,Lecture curseur streamée pour gros datasets.,Terminé,P2,V1,4,Optimisation mémoire.
DDL / Management,Suppression Base de Données,Fullstack,Suppression de base de données avec double confirmation.,Terminé,P1,V1,3,Support sélectif par driver.
DDL / Management,Création Base de Données,Fullstack,Création de base de données / schéma depuis l'interface.,Terminé,P1,V1,3,Support multi-driver.
DDL / Management,Gestion Tables,Fullstack,Création et suppression de tables avec support types par driver.,Terminé,P1,V1,4,Interface graphique dédiée.
Data Grid,Export Données,Fullstack,Export des résultats en CSV JSON SQL HTML XLSX et Parquet.,Terminé,P2,V2,3,Formats XLSX et Parquet réservés Pro.
Infra,Journal d'erreurs,Frontend / Shell,Panneau dédié pour visualiser les erreurs backend/frontend.,Terminé,P2,V1,2,Persistant.
SQL Editor,Multi-statement Execution,Backend / Core,Séparation et comptage des statements SQL multiples avec notices de résultats.,Terminé,P1,V1,3,Exécution batch améliorée.
Schema,ER Diagram,Frontend / Schema,Visualisation schéma relationnel avec isolation et visibilité colonnes.,Terminé,P1,V1,5,Diagramme entité-relation interactif.
Data Engine Kernel,Sandbox Mode,Fullstack,Mode bac à sable pour changements locaux isolés avec génération de migrations.,Terminé,P1,V1,5,Indicateur visuel et commandes Tauri.
Data Grid,Foreign Key Peek,Frontend / Grid,Tooltips affichant les valeurs des clés étrangères au survol.,Terminé,P2,V1,2,Amélioration UX pour relations.
Schema,Index Support,Backend / Core,Support complet des index dans le schéma des tables.,Terminé,P1,V1,3,Extension du modèle de métadonnées.
Data Grid,Row Count Estimation,Backend / Core,Estimation optimisée du nombre de lignes pour grandes tables.,Terminé,P2,V1,3,Performance améliorée.
Infra,Localization FR/EN,Frontend / i18n,Traduction complète interface en français et anglais.,Terminé,P2,V1,2,Support multilingue.
Data Tools,Recherche globale (full-text),Backend / Core,Recherche d'une chaîne dans toutes les tables/colonnes.,Terminé,P1,V2,4,Scan full-text multi-tables.
Infra,Background Job Manager,Backend / Core,Exécution asynchrone des tâches longues avec reprise sur erreur.,Terminé,P1,V2,4,Exports/migrations/gros updates.
Data Engine Kernel,Universal Query Interceptor,Backend / Core,Hooks pour profiling/logging/audit et prévention requêtes destructrices.,Terminé,P1,V2,4,Safety net backend.
Data Engine Kernel,Driver SQLite,Backend / Core,Driver SQLite avec support WAL et extensions.,Terminé,P1,V2,3,Support 1st class.
Data Tools,Visual Data Diff,Frontend / Diff,"Comparaison de deux résultats de requêtes ou tables dans une grille unifiée (type Git diff).",Terminé,P1,V2,3,"Compare Prod vs Staging. En mode table, la lecture est bornée (1 000 lignes par défaut, réglable jusqu'à 25 000) : un côté plein déclenche un avertissement, car les lignes reviennent sans ordre garanti et le diff peut ne pas être exhaustif."
Data Tools,Fédération Inter-bases,Fullstack,Exécution de requêtes SQL cross-database avec jointures entre connexions actives.,Terminé,P1,V2,5,Pipeline de fédération basé sur DuckDB avec source mapping.
Data Engine Kernel,Driver DuckDB,Backend / Core,Driver DuckDB pour analyse de fichiers locaux CSV/Parquet et fédération.,Terminé,P1,V2,3,Support OLAP et fichiers locaux.
Data Engine Kernel,Driver MotherDuck,Backend / Core,Driver MotherDuck via l'endpoint PostgreSQL wire (token) avec introspection catalogue DuckDB.,Terminé,P2,V2,3,Transport pg_compat et introspection information_schema/duckdb_*.
Data Engine Kernel,Driver SQL Server,Backend / Core,Driver SQL Server complet via Tiberius avec connection pooling bb8.,Terminé,P1,V2,4,Support OFFSET/FETCH pagination.
Data Engine Kernel,Driver CockroachDB,Backend / Core,Driver CockroachDB basé sur la couche de compatibilité PostgreSQL.,Terminé,P1,V2,3,Wire-compatible PostgreSQL.
